"date";"category";"value"
"2025-02-01";"Орловская область";66.5
"2025-02-01";"Пензенская область";63.4
"2025-02-01";"Пермский край";72.2
"2025-02-01";"Приморский край";66.8
"2025-02-01";"Псковская область";68.2
"2025-02-01";"Республика Адыгея";62.9
"2025-02-01";"Республика Алтай";74
"2025-02-01";"Республика Башкортостан";70.5
"2025-02-01";"Республика Бурятия";71.8
"2025-02-01";"Республика Дагестан";31.8
"2025-02-01";"Республика Ингушетия";22.9
"2025-02-01";"Республика Калмыкия";61.7
"2025-02-01";"Республика Карелия";75.5
"2025-02-01";"Республика Коми";75.8
"2025-02-01";"Республика Крым";67.7
"2025-02-01";"Республика Марий Эл";69
"2025-02-01";"Республика Мордовия";67.5
"2025-02-01";"Республика Саха (Якутия)";79.3
"2025-02-01";"Республика Северная Осетия — Алания";49.4
"2025-02-01";"Республика Татарстан";68.9
"2025-02-01";"Республика Тыва";68.3
"2025-02-01";"Республика Хакасия";65.7
"2025-02-01";"Россия";69.8
"2025-02-01";"Ростовская область";65.1
"2025-02-01";"Рязанская область";65.6
"2025-02-01";"Самарская область";68.4
"2025-02-01";"Санкт-Петербург";75.6
"2025-02-01";"Саратовская область";66.6
"2025-02-01";"Сахалинская область";75
"2025-02-01";"Свердловская область";71.8
