"date";"category";"value"
"2025-05-31";"Красноярский край";94781
"2025-05-31";"Курганская область";74484
"2025-05-31";"Курская область";98943
"2025-05-31";"Ленинградская область";131788
"2025-05-31";"Липецкая область";75576
"2025-05-31";"Магаданская область";125578
"2025-05-31";"Москва";307976
"2025-05-31";"Московская область";149437
"2025-05-31";"Мурманская область";79585
"2025-05-31";"Ненецкий автономный округ";107079
"2025-05-31";"Нижегородская область";106460
"2025-05-31";"Новгородская область";79758
"2025-05-31";"Новосибирская область";112300
"2025-05-31";"Омская область";102626
"2025-05-31";"Оренбургская область";66961
"2025-05-31";"Орловская область";75392
"2025-05-31";"Пензенская область";79266
"2025-05-31";"Пермский край";80710
"2025-05-31";"Приморский край";130604
"2025-05-31";"Псковская область";75808
"2025-05-31";"Республика Адыгея";89492
"2025-05-31";"Республика Алтай";162201
"2025-05-31";"Республика Башкортостан";82636
"2025-05-31";"Республика Бурятия";117383
"2025-05-31";"Республика Дагестан";84344
"2025-05-31";"Республика Ингушетия";34737
"2025-05-31";"Республика Калмыкия";88874
"2025-05-31";"Республика Карелия";84484
"2025-05-31";"Республика Коми";73712
"2025-05-31";"Республика Крым";158942
"2025-05-31";"Республика Марий Эл";84388
"2025-05-31";"Республика Мордовия";84442
"2025-05-31";"Республика Саха (Якутия)";131085
"2025-05-31";"Республика Северная Осетия — Алания";84482
"2025-05-31";"Республика Татарстан";113922
"2025-05-31";"Республика Тыва";104029
"2025-05-31";"Республика Хакасия";82507
"2025-05-31";"Россия";115095
"2025-05-31";"Ростовская область";93670
"2025-05-31";"Рязанская область";77887
"2025-05-31";"Самарская область";91352
"2025-05-31";"Санкт-Петербург";213381
"2025-05-31";"Саратовская область";77820
"2025-05-31";"Сахалинская область";136837
"2025-05-31";"Свердловская область";91438
"2025-05-31";"Севастополь";162605
"2025-05-31";"Смоленская область";68014
"2025-05-31";"Ставропольский край";94311
"2025-05-31";"Тамбовская область";79005
"2025-05-31";"Тверская область";81558
"2025-05-31";"Томская область";103289
"2025-05-31";"Тульская область";82646
"2025-05-31";"Тюменская область";100305
"2025-05-31";"Удмуртская Республика";84777
"2025-05-31";"Ульяновская область";79381
"2025-05-31";"Хабаровский край";89621
"2025-05-31";"Ханты-Мансийский автономный округ — Югра";89573
"2025-05-31";"Челябинская область";77917
"2025-05-31";"Чеченская Республика";37270
"2025-05-31";"Чувашская Республика";94089
"2025-05-31";"Чукотский автономный округ";135366
"2025-05-31";"Ямало-Ненецкий автономный округ";128779
