"date";"category";"value"
"2025-01-31";"Астраханская область";149277
"2025-01-31";"Белгородская область";116226
"2025-01-31";"Брянская область";95720
"2025-01-31";"Владимирская область";98453
"2025-01-31";"Волгоградская область";114628
"2025-01-31";"Вологодская область";99213
"2025-01-31";"Воронежская область";118969
"2025-01-31";"Забайкальский край";167954
"2025-01-31";"Ивановская область";99520
"2025-01-31";"Иркутская область";155435
"2025-01-31";"Кабардино-Балкарская Республика";101847
"2025-01-31";"Калининградская область";135411
"2025-01-31";"Калужская область";114462
"2025-01-31";"Камчатский край";174016
"2025-01-31";"Карачаево-Черкесская Республика";92400
"2025-01-31";"Кемеровская область";120239
"2025-01-31";"Кировская область";124579
"2025-01-31";"Костромская область";104988
"2025-01-31";"Краснодарский край";166987
"2025-01-31";"Красноярский край";129680
"2025-01-31";"Курганская область";93414
"2025-01-31";"Курская область";108807
"2025-01-31";"Ленинградская область";172510
"2025-01-31";"Липецкая область";98613
"2025-01-31";"Москва";351509
"2025-01-31";"Московская область";191168
"2025-01-31";"Нижегородская область";158018
"2025-01-31";"Новгородская область";120573
"2025-01-31";"Новосибирская область";141228
"2025-01-31";"Омская область";160614
"2025-01-31";"Оренбургская область";87479
"2025-01-31";"Орловская область";85199
"2025-01-31";"Пензенская область";102878
"2025-01-31";"Пермский край";142531
"2025-01-31";"Приморский край";167575
"2025-01-31";"Псковская область";78571
"2025-01-31";"Республика Адыгея";122729
"2025-01-31";"Республика Алтай";231915
"2025-01-31";"Республика Башкортостан";141061
"2025-01-31";"Республика Бурятия";138797
"2025-01-31";"Республика Дагестан";150921
"2025-01-31";"Республика Калмыкия";76054
"2025-01-31";"Республика Карелия";129616
"2025-01-31";"Республика Коми";116606
"2025-01-31";"Республика Крым";174899
"2025-01-31";"Республика Марий Эл";101562
"2025-01-31";"Республика Мордовия";115723
"2025-01-31";"Республика Саха (Якутия)";180420
"2025-01-31";"Республика Северная Осетия — Алания";107813
"2025-01-31";"Республика Татарстан";187322
"2025-01-31";"Республика Тыва";153979
"2025-01-31";"Республика Хакасия";124767
"2025-01-31";"Россия";170963
"2025-01-31";"Ростовская область";135840
"2025-01-31";"Рязанская область";120976
"2025-01-31";"Самарская область";127924
"2025-01-31";"Санкт-Петербург";246752
"2025-01-31";"Саратовская область";97961
"2025-01-31";"Сахалинская область";199102
"2025-01-31";"Свердловская область";146792
"2025-01-31";"Севастополь";158018
"2025-01-31";"Смоленская область";91949
"2025-01-31";"Ставропольский край";108599
"2025-01-31";"Тамбовская область";98108
"2025-01-31";"Тверская область";123705
"2025-01-31";"Томская область";143951
"2025-01-31";"Тульская область";132563
